SNID	redshift	err_redshift	u	g	r	i	z	err_u	err_g	err_r	err_i	err_z
1015	0.008797	0.00001	14.78101	13.03036	12.27375	11.87167	11.61239	0.005150833	0.001628408	0.001552263	0.001564957	0.00195794
1309	0.007138	0.00001	13.57124	12.14897	11.51442	11.20438	10.96135	0.003529118	0.001618646	0.001553652	0.001553476	0.001899061
3021	0.00535	0.00001	14.69895	12.89072	12.20908	11.85092	11.57681	0.004330397	0.001690158	0.00164913	0.001660266	0.00197774
3370	0.004276	0.000010	14.31921	12.82358	12.11692	11.78323	11.59495	0.004344787	0.001755823	0.001681576	0.001685386	0.002198729
3447	0.003556	0.000003	20.5921	19.3672	19.0718	18.80283	19.00023	0.07847096	0.01502272	0.01521283	0.01690704	0.06178296
3972	0.002799	0.000033	14.50217	13.11087	12.39992	12.01704	11.81684	0.005629894	0.002006909	0.001942047	0.002260225	0.002880807
3982	0.00371	0.00001	13.49688	12.08309	11.42713	11.12287	10.94503	0.003099717	0.001607115	0.001574649	0.001582495	0.001901982
4424	0.00162	0.00009	19.49202	18.98666	19.0366	19.01851	18.50401	0.05112161	0.01780302	0.02239409	0.0277837	0.04688481
4536	0.00603	0.00001	15.46034	16.09247	15.24339	15.76083	15.1005	0.008358375	0.00683967	0.004971534	0.01060888	0.02241995
4639	0.00364	0.00002	14.02262	12.34769	11.36677	10.95875	10.71069	0.003934194	0.001643585	0.001504836	0.001500545	0.001652387
5584	0.005525	0.000010	14.27148	12.97487	12.36285	12.01079	12.20652	0.00542653	0.001984293	0.001883894	0.00187232	0.003959718
7250	0.0039	0.00001	14.00331	13.23996	12.78465	12.9619	12.6302	0.003622757	0.001835707	0.001787101	0.002020005	0.003693614
9391	0.00649	0.00025	16.96717	15.64733	14.98497	14.6508	14.35799	0.01151397	0.002970286	0.00263536	0.002747847	0.004844753
